id,dataset_id,synonym,normalized_synonym,weight,created_at
6250,62,国内行业部,国内行业部,10,2026-07-02 02:54:33.797427+00:00
6251,62,直营零售部,直营零售部,10,2026-07-02 02:54:33.797427+00:00
6252,62,跨境行业部,跨境行业部,10,2026-07-02 02:54:33.797427+00:00
6253,62,净水业务,净水业务,9,2026-07-02 02:54:33.797427+00:00
6254,62,饮水业务,饮水业务,9,2026-07-02 02:54:33.797427+00:00
6255,62,台净业务,台净业务,9,2026-07-02 02:54:33.797427+00:00
6256,62,滤芯,滤芯,9,2026-07-02 02:54:33.797427+00:00
6257,62,京东直营,京东直营,9,2026-07-02 02:54:33.797427+00:00
6258,62,天猫直营,天猫直营,9,2026-07-02 02:54:33.797427+00:00
6259,62,抖音直营,抖音直营,9,2026-07-02 02:54:33.797427+00:00
6260,62,达播,达播,9,2026-07-02 02:54:33.797427+00:00
6261,62,亚马逊,亚马逊,9,2026-07-02 02:54:33.797427+00:00
6262,62,东南亚,东南亚,9,2026-07-02 02:54:33.797427+00:00
6263,62,其他,其他,9,2026-07-02 02:54:33.797427+00:00
6264,62,细分业务,细分业务,7,2026-07-02 02:54:33.797427+00:00
6265,62,电商行业部,电商行业部,8,2026-07-02 02:54:33.797427+00:00
7223,2,消费者事业群,消费者事业群,10,2026-07-08 07:41:23.865975+00:00
7224,2,消费者事业,消费者事业,9,2026-07-08 07:41:23.865975+00:00
7225,2,消费者业绩,消费者业绩,8,2026-07-08 07:41:23.865975+00:00
7226,2,消费者任务,消费者任务,8,2026-07-08 07:41:23.865975+00:00
7227,2,消费事业群,消费事业群,7,2026-07-08 07:41:23.865975+00:00
7228,2,消费者事业群标准版,消费者事业群标准版,7,2026-07-08 07:41:23.865975+00:00
7229,2,事业群,事业群,6,2026-07-08 07:41:23.865975+00:00
7230,2,战区,战区,8,2026-07-08 07:41:23.865975+00:00
7231,2,城市战区,城市战区,8,2026-07-08 07:41:23.865975+00:00
7232,2,城市站,城市站,7,2026-07-08 07:41:23.865975+00:00
7233,2,线下,线下,8,2026-07-08 07:41:23.865975+00:00
7234,2,线下业务,线下业务,8,2026-07-08 07:41:23.865975+00:00
7235,2,线下主业务,线下主业务,8,2026-07-08 07:41:23.865975+00:00
7236,2,新零售,新零售,7,2026-07-08 07:41:23.865975+00:00
7237,2,燃气定制,燃气定制,7,2026-07-08 07:41:23.865975+00:00
7238,2,地产,地产,6,2026-07-08 07:41:23.865975+00:00
7239,2,地产配套,地产配套,6,2026-07-08 07:41:23.865975+00:00
7240,2,业务板块,业务板块,6,2026-07-08 07:41:23.865975+00:00
7241,2,开单金额,开单金额,7,2026-07-08 07:41:23.865975+00:00
7242,2,年度开单,年度开单,7,2026-07-08 07:41:23.865975+00:00
7243,2,任务达成,任务达成,7,2026-07-08 07:41:23.865975+00:00
7244,2,达成率,达成率,6,2026-07-08 07:41:23.865975+00:00
7245,2,总任务,总任务,6,2026-07-08 07:41:23.865975+00:00
7246,2,任务金额,任务金额,6,2026-07-08 07:41:23.865975+00:00
7247,2,浔澜战区,浔澜战区,9,2026-07-08 07:41:23.865975+00:00
7248,2,浔澜,浔澜,8,2026-07-08 07:41:23.865975+00:00
7249,2,岱澜战区,岱澜战区,9,2026-07-08 07:41:23.865975+00:00
7250,2,消费者战区对比,消费者战区对比,7,2026-07-08 07:41:23.865975+00:00
7251,2,feishu_tbl_xioafeizhe,feishu_tbl_xioafeizhe,6,2026-07-08 07:41:23.865975+00:00
